iter	RMSE
0	5.310186861
1	5.272509892
2	5.235303652
3	5.199848996
4	5.164870061
5	5.131938351
6	5.101418629
7	5.07173546
8	5.042699706
9	5.016495784
10	4.990386232
11	4.966104549
12	4.942028335
13	4.91857527
14	4.896778185
15	4.876226179
16	4.856008155
17	4.83691357
18	4.818312406
19	4.801039335
20	4.784398133
21	4.768390149
22	4.752975815
23	4.738305904
24	4.724168676
25	4.711149727
26	4.69800969
27	4.686471262
28	4.674709556
29	4.663587537
30	4.652825639
31	4.642454437
32	4.63234518
33	4.623104075
34	4.613983498
35	4.605143677
36	4.596090559
37	4.587389826
38	4.579510805
39	4.5716168
40	4.563700541
41	4.556557647
42	4.549937625
43	4.542932951
44	4.536259171
45	4.529766241
46	4.523372528
47	4.517456371
48	4.511426564
49	4.505559808
50	4.49976698
51	4.494234953
52	4.488643338
53	4.483747864
54	4.478888959
55	4.473919291
56	4.469695547
57	4.465020311
58	4.460666544
59	4.456481609
60	4.45194574
61	4.447619111
62	4.443475536
63	4.439652304
64	4.435755835
65	4.432146055
66	4.428342182
67	4.424584269
68	4.421034362
69	4.416880419
70	4.412825358
71	4.40956693
72	4.40620915
73	4.403476443
74	4.40026734
75	4.397003287
76	4.393362747
77	4.390529325
78	4.38747878
79	4.384654513
80	4.381657495
81	4.378235896
82	4.375243512
83	4.372627561
84	4.369964103
85	4.367497171
86	4.364843881
87	4.362317553
88	4.359505381
89	4.357157016
90	4.354187795
91	4.35188834
92	4.349564362
93	4.346718692
94	4.344618953
95	4.342287236
96	4.339456635
97	4.33736325
98	4.33537344
99	4.332759017
100	4.32950506
101	4.326805531
102	4.323450195
103	4.321306431
104	4.318556856
105	4.316712724
106	4.314595197
107	4.312829926
108	4.311086326
109	4.308875632
110	4.306361999
111	4.304668508
112	4.303140152
113	4.301385566
114	4.299872291
115	4.297719534
116	4.296194834
117	4.29323363
118	4.291704677
119	4.290060527
120	4.288081491
121	4.286499671
122	4.285070527
123	4.283122106
124	4.281766498
125	4.280267984
126	4.278457906
127	4.277072688
128	4.274692147
129	4.272788876
130	4.271261622
131	4.269541465
132	4.268221589
133	4.266936891
134	4.265630047
135	4.264281786
136	4.263135209
137	4.260902352
138	4.25971314
139	4.258746874
140	4.257771129
141	4.256050908
142	4.253523645
143	4.252101331
144	4.251083702
145	4.249941837
146	4.248542299
147	4.247647323
148	4.2453368
149	4.244017059
150	4.24304232
151	4.241526411
152	4.24039218
153	4.23946929
154	4.238308688
155	4.236276728
156	4.23537185
157	4.233273061
158	4.23209136
159	4.230130926
160	4.229216342
161	4.228025703
162	4.22714036
163	4.226329585
164	4.224584944
165	4.223775873
166	4.222798733
167	4.221834013
168	4.221015287
169	4.220248129
170	4.219480646
171	4.218715779
172	4.216778905
173	4.215576698
174	4.214916325
175	4.214224589
176	4.213322334
177	4.212087596
178	4.211108633
179	4.21021374
180	4.20932088
181	4.207998909
182	4.207064308
183	4.20561833
184	4.203970601
185	4.202987653
186	4.202366677
187	4.201705159
188	4.20109292
189	4.200548103
190	4.19989219
191	4.199303361
192	4.198544546
193	4.197980459
194	4.197088737
195	4.196345946
196	4.195782732
197	4.195136267
198	4.194657865
199	4.194122253
200	4.193579221
201	4.192650522
202	4.192091801
203	4.191304267
204	4.190894965
205	4.190393006
206	4.189788151
207	4.189322667
208	4.188734444
209	4.188094131
210	4.186512187
211	4.186028397
212	4.185617507
213	4.185071066
214	4.183830822
215	4.183395522
216	4.182968068
217	4.182519261
218	4.182146288
219	4.181763188
220	4.181383216
221	4.180849022
222	4.180297391
223	4.17944208
224	4.178885608
225	4.178530629
226	4.178161012
227	4.177806891
228	4.17748378
229	4.176113321
230	4.175653373
231	4.174720394
232	4.174336965
233	4.173968911
234	4.173552465
235	4.173107364
236	4.172729447
237	4.171860004
238	4.171591535
239	4.171263097
240	4.170775925
241	4.169726248
242	4.16895309
243	4.168734293
244	4.1678463
245	4.167379415
246	4.166961454
247	4.166594172
248	4.166254705
249	4.165734615
250	4.165479165
251	4.165041299
252	4.164430985
253	4.164179161
254	4.163784971
255	4.162925159
256	4.162626626
257	4.162298306
258	4.161350731
259	4.161004675
260	4.16056538
261	4.159927253
262	4.159664533
263	4.159328474
264	4.159103735
265	4.158793494
266	4.158520041
267	4.158219026
268	4.158007147
269	4.157727178
270	4.157475497
271	4.157121983
272	4.156887737
273	4.155955521
274	4.155390343
275	4.155153504
276	4.154826781
277	4.154549868
278	4.15432193
279	4.154078981
280	4.153840532
281	4.153531687
282	4.153297703
283	4.152977041
284	4.152773158
285	4.152595863
286	4.152449747
287	4.151875538
288	4.151434968
289	4.15124883
290	4.150714339
291	4.150520781
292	4.15029771
293	4.150084202
294	4.149410832
295	4.149210526
296	4.148969594
297	4.148769083
298	4.148580785
299	4.14840857
300	4.148241368
301	4.147976698
302	4.147684734
303	4.147206981
304	4.147012169
305	4.146710645
306	4.146469209
307	4.146165304
308	4.145604168
309	4.145239929
