iter	Passed	Remaining
0	10	21412
1	20	20743
2	29	19717
3	39	19866
4	49	19644
5	58	19473
6	68	19453
7	78	19665
8	89	19762
9	100	20018
10	111	20204
11	121	20088
12	131	20158
13	141	20123
14	152	20115
15	161	20085
16	172	20064
17	181	19986
18	191	19966
19	201	19938
20	211	19952
21	223	20128
22	235	20212
23	245	20253
24	256	20285
25	267	20287
26	277	20272
27	287	20261
28	297	20222
29	307	20194
30	317	20181
31	328	20201
32	340	20269
33	350	20278
34	361	20297
35	372	20299
36	382	20294
37	392	20288
38	404	20341
39	415	20368
40	426	20375
41	437	20395
42	448	20423
43	460	20468
44	472	20543
45	484	20570
46	495	20597
47	505	20556
48	515	20533
49	526	20524
50	537	20537
51	553	20737
52	562	20667
53	572	20645
54	582	20600
55	592	20561
56	602	20547
57	613	20536
58	624	20533
59	634	20514
60	643	20467
61	654	20451
62	664	20438
63	676	20451
64	687	20463
65	697	20429
66	707	20397
67	717	20375
68	727	20352
69	737	20335
70	747	20313
71	758	20307
72	768	20293
73	778	20270
74	789	20270
75	800	20269
76	811	20254
77	821	20235
78	831	20216
79	841	20201
80	851	20167
81	861	20156
82	872	20144
83	882	20140
84	893	20121
85	902	20091
86	912	20066
87	922	20043
88	933	20033
89	943	20028
90	954	20013
91	963	19990
92	974	19975
93	983	19950
94	994	19935
95	1004	19929
96	1014	19906
97	1025	19901
98	1034	19866
99	1044	19844
100	1055	19838
101	1065	19830
102	1076	19820
103	1087	19818
104	1098	19822
105	1109	19829
106	1120	19824
107	1130	19802
108	1140	19781
109	1150	19769
110	1160	19753
111	1171	19744
112	1181	19728
113	1191	19718
114	1202	19705
115	1213	19714
116	1225	19715
117	1237	19731
118	1247	19719
119	1257	19705
120	1267	19678
121	1277	19659
122	1287	19648
123	1298	19639
124	1307	19617
125	1317	19599
126	1328	19586
127	1338	19572
128	1348	19563
129	1360	19563
130	1370	19557
131	1390	19676
132	1400	19652
133	1408	19619
134	1417	19589
135	1427	19571
136	1437	19549
137	1448	19540
138	1458	19524
139	1469	19518
140	1479	19508
141	1490	19497
142	1500	19490
143	1511	19479
144	1521	19466
145	1531	19451
146	1542	19440
147	1551	19420
148	1562	19406
149	1572	19397
150	1582	19382
151	1593	19372
152	1603	19362
153	1615	19364
154	1626	19361
155	1638	19363
156	1649	19365
157	1661	19369
158	1672	19364
159	1682	19348
160	1693	19346
161	1704	19333
162	1714	19318
163	1724	19309
164	1735	19300
165	1746	19293
166	1757	19285
167	1766	19268
168	1777	19254
169	1787	19239
170	1797	19230
171	1807	19211
172	1818	19202
173	1828	19187
174	1838	19171
175	1847	19149
176	1857	19136
177	1868	19121
178	1877	19100
179	1896	19172
180	1905	19147
181	1914	19127
182	1925	19117
183	1936	19109
184	1947	19104
185	1957	19091
186	1967	19076
187	1977	19058
188	1986	19037
189	1996	19018
190	2007	19013
191	2017	19001
192	2027	18986
193	2038	18972
194	2048	18963
195	2058	18947
196	2069	18943
197	2080	18937
198	2090	18918
199	2100	18900
200	2110	18891
201	2121	18884
202	2133	18886
203	2144	18876
204	2153	18858
205	2163	18844
206	2174	18831
207	2185	18827
208	2194	18807
209	2204	18791
210	2216	18789
211	2227	18786
212	2238	18782
213	2247	18761
214	2257	18744
215	2268	18733
216	2278	18721
217	2288	18707
218	2298	18691
219	2309	18687
220	2320	18676
221	2330	18661
222	2340	18647
223	2350	18638
224	2362	18634
225	2373	18627
226	2383	18614
227	2393	18604
228	2404	18595
229	2414	18581
230	2424	18568
231	2442	18615
232	2451	18590
233	2461	18576
234	2471	18559
235	2481	18546
236	2491	18535
237	2502	18529
238	2512	18515
239	2523	18502
240	2533	18489
241	2543	18479
242	2553	18464
243	2563	18450
244	2573	18432
245	2584	18427
246	2594	18412
247	2604	18400
248	2614	18386
249	2624	18373
250	2634	18356
251	2645	18348
252	2655	18337
253	2666	18326
254	2675	18307
255	2684	18291
256	2694	18277
257	2705	18266
258	2716	18259
259	2726	18244
260	2736	18231
261	2746	18217
262	2756	18205
263	2766	18189
264	2776	18176
265	2787	18168
266	2798	18165
267	2810	18161
268	2821	18156
269	2832	18147
270	2842	18136
271	2852	18123
272	2887	18268
273	2896	18244
274	2904	18219
275	2914	18206
276	2925	18194
277	2935	18185
278	2945	18169
279	2956	18164
280	2967	18152
281	2977	18137
282	2987	18123
283	2996	18106
284	3005	18087
285	3015	18069
286	3024	18053
287	3034	18037
288	3044	18023
289	3053	18004
290	3063	17993
291	3073	17979
292	3084	17967
293	3094	17957
294	3104	17944
295	3114	17931
296	3124	17915
297	3134	17900
298	3144	17888
299	3154	17873
300	3163	17854
301	3173	17840
302	3183	17829
303	3193	17814
304	3203	17803
305	3215	17803
306	3226	17790
307	3235	17775
308	3245	17760
309	3255	17747
310	3265	17734
311	3276	17724
312	3286	17715
313	3296	17701
314	3307	17691
315	3317	17681
316	3328	17671
317	3338	17660
318	3349	17651
319	3359	17639
320	3369	17626
321	3381	17619
322	3392	17612
323	3402	17601
324	3412	17588
325	3423	17579
326	3432	17563
327	3443	17551
328	3452	17537
329	3462	17523
330	3472	17510
331	3482	17495
332	3493	17487
333	3503	17477
334	3514	17465
335	3524	17456
336	3534	17442
337	3545	17431
338	3555	17418
339	3565	17407
340	3575	17395
341	3586	17386
342	3596	17376
343	3607	17365
344	3617	17354
345	3627	17341
346	3638	17330
347	3647	17315
348	3657	17302
349	3667	17291
350	3678	17279
351	3688	17269
352	3699	17260
353	3710	17251
354	3721	17246
355	3731	17234
356	3742	17223
357	3752	17211
358	3762	17197
359	3771	17182
360	3781	17169
361	3791	17158
362	3802	17147
363	3823	17184
364	3832	17167
